,Name,About
100,Ting Zhang,"   Ting Zhang is an Associate Professor of the Department of Finance and Economics at the Merrick School of Business, Harry Y. Wright Chair, Associate Director of the Jacob France Institute, University of Baltimore, an appointed member of the Maryland Governor’s Office of Equal Pay Commission, APPAM Entrepreneurship Faculty Fellow, and a newly elected Councilor-at-Large for the North America Regional Science Council.  Dr. Zhang’s research interests include human capital, entrepreneurship, and employment. Dr. Zhang has been a Principal Investigator and lead economist for many workforce-related national, state, and local grants, with a total of $9 million USD, including grants from US Dept. of Labor (USDOL), US Dept. of Agriculture, US Dept. of Education, the Gates Foundation, the Kauffman Foundation, Abell Foundation, Maryland DOL, Maryland Dept. of Disability, Maryland Dept. of Human Services, etc.  Dr. Zhang is a published author of peer-reviewed books and journal articles, including articles in Small Business Economics, Applied Economics, Archives of Gerontology and Geriatrics, Papers in Regional Science, International Journal of Manpower, Southern Economic Journal, Accounting Education, Applied Economics Letters, etc. Her 2008 book Elderly Entrepreneurship in an Aging US Economy was favorably reviewed by Dr. Jan Wassel in The Gerontologist;  her 2013 book Entrepreneurship and Economic Growth in China was regarded as one of the best economics books on China studies in English by 海外汉学研究.  She has given invited talks at the US Congress Joint Economic Committee, the House Committee on Small Businesses, the US National Press Club, USDOL, Office of Planning, Research & Evaluation, the Ewing Marion Kauffman Foundation, Cambridge University, etc, and given invited keynote speeches at the University of Lisbon (Portugal), Uddevalla Symposium, Gran Sasso Science Institute (Italy), Leadership in Motion (Sweden), Johns Hopkins University, George Washington University, UMBC, national medical device conference, etc. Dr. Zhang’s research has been quoted in popular media such as Forbes, Time, Bloomberg Businessweek, Academic Times, Market Watch, Baltimore Sun, and so on.  Dr. Zhang was a winner of the Kauffman Dissertation Fellowship (2007), the finalist of the Charles M. Tiebout Prize in Regional Science (2008), USDOL ETA Research Fellowship (2009-2011), Kauffman research grants (2015-2019), T. Rowe Price Excellence in Teaching awards (2016-2019), Labor & Employment Relations Association Best Paper selection (2017-2021), APPAM Entrepreneurship Faculty (2021), etc.Ting Zhang is an Associate Professor of the Department of Finance and Economics at the Merrick School of Business, Harry Y. Wright Chair, Associate Director of the Jacob France Institute, University of Baltimore, an appointed member of the Maryland Governor’s Office of Equal Pay Commission, APPAM Entrepreneurship Faculty Fellow, and a newly elected Councilor-at-Large for the North America Regional Science Council.  Dr. Zhang’s research interests include human capital, entrepreneurship, and employment. Dr. Zhang has been a Principal Investigator and lead economist for many workforce-related national, state, and local grants, with a total of $9 million USD, including grants from US Dept. of Labor (USDOL), US Dept. of Agriculture, US Dept. of Education, the Gates Foundation, the Kauffman Foundation, Abell Foundation, Maryland DOL, Maryland Dept. of Disability, Maryland Dept. of Human Services, etc.  Dr. Zhang is a published author of peer-reviewed books and journal articles, including articles in Small Business Economics, Applied Economics, Archives of Gerontology and Geriatrics, Papers in Regional Science, International Journal of Manpower, Southern Economic Journal, Accounting Education, Applied Economics Letters, etc. Her 2008 book Elderly Entrepreneurship in an Aging US Economy was favorably reviewed by Dr. Jan Wassel in The Gerontologist;  her 2013 book Entrepreneurship and Economic Growth in China was regarded as one of the best economics books on China studies in English by 海外汉学研究.  She has given invited talks at the US Congress Joint Economic Committee, the House Committee on Small Businesses, the US National Press Club, USDOL, Office of Planning, Research & Evaluation, the Ewing Marion Kauffman Foundation, Cambridge University, etc, and given invited keynote speeches at the University of Lisbon (Portugal), Uddevalla Symposium, Gran Sasso Science Institute (Italy), Leadership in Motion (Sweden), Johns Hopkins University, George Washington University, UMBC, national medical device conference, etc. Dr. Zhang’s research has been quoted in popular media such as Forbes, Time, Bloomberg Businessweek, Academic Times, Market Watch, Baltimore Sun, and so on.  Dr. Zhang was a winner of the Kauffman Dissertation Fellowship (2007), the finalist of the Charles M. Tiebout Prize in Regional Science (2008), USDOL ETA Research Fellowship (2009-2011), Kauffman research grants (2015-2019), T. Rowe Price Excellence in Teaching awards (2016-2019), Labor & Employment Relations Association Best Paper selection (2017-2021), APPAM Entrepreneurship Faculty (2021), etc. "
101,Viviana Maggioni,
102,Yang Shen,"   I am an interdisciplinary engineer/researcher/learner. I received my Ph.D. degree of Civil Engineering from Texas A&M University (TAMU). Now I am a Postdoc Research Fellow in George Mason University (GMU).My Ph.D. dissertation is ""Hybrid Building Energy-Structure Performance Analysis"" which is tightly associated with building science, building operational energy simulation, embodied carbon quantification/optimization/decarbonization, parametric modeling, life-cycle analysis, structural analysis/simulation, data analytics, and Machine Learning. The experience and skills built there include: developing automated multi-physics simulation platform, interpretability, energy modeling for building/urban level scales, building energy/structural system calibration/identification, processing/analyzing/organizing/visualizing large/small datasets from simulation, data automation, and data analysis/AI/ML. Besides, I also worked as a one-year teaching assistant and two-year experience of Federal Proposal Grant writing in TAMU. My Postdoc job in GMU is about project management, advising/mentoring undergraduate/master/Ph.D. students, and collaboration with a multi-disciplinary and diverse team. The research focus on the studies of Computer Vision/ Deep Learning/ Data Analytics Applications in Civil Engineering and Medical Informatics. The experience and skills there include: developing Multi-image Input model through Deep Learning (e.g. CNN) and time-series prediction model (e.g. RNN), data fusion, image processing, photogrammetry, and rigid/non-rigid 3D point cloud reconstruction/correspondence.I am an interdisciplinary engineer/researcher/learner. I received my Ph.D. degree of Civil Engineering from Texas A&M University (TAMU). Now I am a Postdoc Research Fellow in George Mason University (GMU).My Ph.D. dissertation is ""Hybrid Building Energy-Structure Performance Analysis"" which is tightly associated with building science, building operational energy simulation, embodied carbon quantification/optimization/decarbonization, parametric modeling, life-cycle analysis, structural analysis/simulation, data analytics, and Machine Learning. The experience and skills built there include: developing automated multi-physics simulation platform, interpretability, energy modeling for building/urban level scales, building energy/structural system calibration/identification, processing/analyzing/organizing/visualizing large/small datasets from simulation, data automation, and data analysis/AI/ML. Besides, I also worked as a one-year teaching assistant and two-year experience of Federal Proposal Grant writing in TAMU.  My Postdoc job in GMU is about project management, advising/mentoring undergraduate/master/Ph.D. students, and collaboration with a multi-disciplinary and diverse team. The research focus on the studies of Computer Vision/ Deep Learning/ Data Analytics Applications in Civil Engineering and Medical Informatics. The experience and skills there include: developing Multi-image Input model through Deep Learning (e.g. CNN) and time-series prediction model (e.g. RNN), data fusion, image processing, photogrammetry, and rigid/non-rigid 3D point cloud reconstruction/correspondence. "
103,Cameron Nowzari,   ------ 
104,Craig Lorie,"   I have 10 years experience teaching undergraduate courses in Electrical and Computer Engineering.Most of the courses that I teach focus on computer engineering and computer programming.I teach first-year through fourth-year level courses.The courses include ""Digital Circuit Design"", ""Computer Organization"", and ""Embedded Systems"".I am knowledgeable about the hardware and software of computing systems.My first love has always been computer programming and computing systems.I have 10 years experience teaching undergraduate courses in Electrical and Computer Engineering.Most of the courses that I teach focus on computer engineering and computer programming.I teach first-year through fourth-year level courses.The courses include ""Digital Circuit Design"", ""Computer Organization"", and ""Embedded Systems"".I am knowledgeable about the hardware and software of computing systems.My first love has always been computer programming and computing systems. "
105,Bernd-Peter Paris,"   Professor in the Department of Electrical and Computer Engineering: research and teaching in the area of communications systems, specializing in wireless systems.Specialties: Modeling, design, and analysis of communication systems, with an  emphasis on wireless systems; digital signal processing; communications networks.Professor in the Department of Electrical and Computer Engineering: research and teaching in the area of communications systems, specializing in wireless systems.Specialties: Modeling, design, and analysis of communication systems, with an  emphasis on wireless systems; digital signal processing; communications networks. FeaturedFeatured     LinkLink   Simulation of Wireless Communication SystemsSimulation of Wireless Communication SystemsSlideShareSlideShareAn introduction to modeling and simulation of wireless communications using MATLAB.An introduction to modeling and simulation of wireless communications using MATLAB.    "
106,Brian Mark,"   Living at the nexus of Risk Management, SOX, ESG, & Data PrivacyLiving at the nexus of Risk Management, SOX, ESG, & Data Privacy FeaturedFeatured     PostPostTwo years on after graduation, I’ve learned one very important lesson: delayed gratification. Recent grads: the road ahead may be tricky given the current global climate, but do yourself a favor and work on that certification, maintain those relationships and attend that (zoom) conference. The seeds you sow today will flourish in the months and years to come.211            4 comments          PostPosthashtag#operationalresilience People Side of COVID-19: The Ultimate Test of Resilience?  7    "
107,Jens-Peter Kaps,
108,Kathleen Wage,
109,Nathalia Peixoto,
110,Yue Wang,
111,Jill Nelson,
112,Kai Zeng,
113,Khaled Khasawneh,
114,Maryam Parsa,
115,Monson Hayes,"   Professor of Electrical and Computer Engineering with over thirty years of experience in research and education. Innovator in distance learning and in providing training and education to engineers in industry.  Expert witness in patent litigation cases involved with digital cameras, image and video compression, image and video processing.Specialties: Digital signal processing, image processing, video processing, face recognition, digital cameras, adaptive signal processing, gesture recognition, computational cameras, equation recognition, signal modeling, and machine learning.Professor of Electrical and Computer Engineering with over thirty years of experience in research and education. Innovator in distance learning and in providing training and education to engineers in industry.  Expert witness in patent litigation cases involved with digital cameras, image and video compression, image and video processing.Specialties: Digital signal processing, image processing, video processing, face recognition, digital cameras, adaptive signal processing, gesture recognition, computational cameras, equation recognition, signal modeling, and machine learning. "
116,Ningshi Yao,"   Experienced Researcher with a 7-year history of working in the higher education. Strong research professional with a Doctor of Philosophy (PhD) focused in Control and Robotics from Georgia Institute of Technology. Skilled in control theory, optimization, machine learning, AI, computer vision, modeling, human robot interaction, Matlab, Latex and English.Experienced Researcher with a 7-year history of working in the higher education. Strong research professional with a Doctor of Philosophy (PhD) focused in Control and Robotics from Georgia Institute of Technology. Skilled in control theory, optimization, machine learning, AI, computer vision, modeling, human robot interaction, Matlab, Latex and English. "
117,Pelin Kurtay,
118,Ping Xu,"   Experienced Research Assistant with a demonstrated history of working in the higher education industry. Skilled in distributed/decentralized optimization and learning, machine learning, deep learning, recommendation systems. Strong research professional with focus in mathematical modeling and optimization, system design and technical reporting.Experienced Research Assistant with a demonstrated history of working in the higher education industry. Skilled in distributed/decentralized optimization and learning, machine learning, deep learning, recommendation systems. Strong research professional with focus in mathematical modeling and optimization, system design and technical reporting. "
119,Qiliang Li,   Research on Nanoelectronics and Novel CMOS DevicesInterests:High performance nanoscale field effect transistorLarge scale nanowire SONOS/FLASH-like non-volatile memoryLarge-area nanostructured photoelectronicsNanoelectronic biosensorResearch on Nanoelectronics and Novel CMOS DevicesInterests:High performance nanoscale field effect transistorLarge scale nanowire SONOS/FLASH-like non-volatile memoryLarge-area nanostructured photoelectronicsNanoelectronic biosensor 
120,Robert Osgood,
121,Tolga Soyata,
122,Weiwen Jiang,"   Dr. Weiwen Jiang joined the ECE department at George Mason University as an Assistant Professor in Fall 2021. He was a Postdoctoral Associate at the University of Notre Dame. He received his Ph.D. degree from Chongqing University in 2019. From 2017 to 2019, he was a research scholar at the University of Pittsburgh. His research works have won Best Paper Awards in IEEE TCAD’21, ICCD’17, and NVMSA’15. He is the receipt of four Best Paper Nominations in ASP-DAC’16, DAC’19, CODES+ISSS’19, ASP-DAC’20, and the Top Winning Awards at IEEE Services Hackathon. He built the first co-design framework, QuantumFlow, to demonstrate the quantum advantage in designing neural networks onto a quantum computer, which was published in Nature Communications. Access https://jqub.ece.gmu.edu/weiwen/ for details.Dr. Weiwen Jiang joined the ECE department at George Mason University as an Assistant Professor in Fall 2021. He was a Postdoctoral Associate at the University of Notre Dame. He received his Ph.D. degree from Chongqing University in 2019. From 2017 to 2019, he was a research scholar at the University of Pittsburgh. His research works have won Best Paper Awards in IEEE TCAD’21, ICCD’17, and NVMSA’15. He is the receipt of four Best Paper Nominations in ASP-DAC’16, DAC’19, CODES+ISSS’19, ASP-DAC’20, and the Top Winning Awards at IEEE Services Hackathon. He built the first co-design framework, QuantumFlow, to demonstrate the quantum advantage in designing neural networks onto a quantum computer, which was published in Nature Communications. Access https://jqub.ece.gmu.edu/weiwen/ for details. "
123,Xiang Chen,
124,Xuan Wang,"   Swarm robot coordination, human-in-the-loop autonomous driving, mobile sensor networks, smart power systems, internet of things, and network neuroscience are applications of distributed autonomy with the potential to transform science, industry, and the military by enabling increased human reach, safer operations in challenging conditions, and improved service delivery at reduced costs. However, to make this future a reality, we need computationally scalable, efficient and robust algorithms to ensure large groups of heterogeneous agents can operate as a cohesive entity.My team develops efficient and robust distributed control, optimization, and learning algorithms for large-scale multi-agent systems to enable advanced autonomy/intelligence. Some of the systems we work on also involve human operators, allowing robots in the system to adapt to human intervention and learning from human corrections. Please reach out if you are interested in discussing these topics.Swarm robot coordination, human-in-the-loop autonomous driving, mobile sensor networks, smart power systems, internet of things, and network neuroscience are applications of distributed autonomy with the potential to transform science, industry, and the military by enabling increased human reach, safer operations in challenging conditions, and improved service delivery at reduced costs. However, to make this future a reality, we need computationally scalable, efficient and robust algorithms to ensure large groups of heterogeneous agents can operate as a cohesive entity.My team develops efficient and robust distributed control, optimization, and learning algorithms for large-scale multi-agent systems to enable advanced autonomy/intelligence. Some of the systems we work on also involve human operators, allowing robots in the system to adapt to human intervention and learning from human corrections. Please reach out if you are interested in discussing these topics. "
125,Zhi Tian,
126,Ali Raz,
127,Chun-Hung Chen,"   Chun-Hung Chen received his Ph.D. degree from Harvard University in 1994. He is currently a Professor at George Mason University. Dr. Chen was an Assistant Professor at the University of Pennsylvania before joining GMU. He was also a professor at National Taiwan University (Electrical Eng. and Industrial Eng.) from 2011-14. Dr. Chen is best known for the Optimal Computing Budget Allocation (OCBA) method that he initially developed. OCBA aims to maximizes the overall efficiency of the entire simulation optimization process, and has been recognized as the state-of-the-art in simulation optimization field. Dr. Chen received several awards such as Best Paper Award from IEEE International Conference on Automation Science and Engineering, IEEE International Conference on Communications, IEEE International Conference on Robotics and Automation, “K.D. Tocher Medal” for the best paper in the Journal of Simulation, “National Thousand Talents Award” from China, and Eliahu I. Jury Award from Harvard University. Dr. Chen is an author of two books, including a best seller: “Stochastic Simulation Optimization: An Optimal Computing Budget Allocation”. Dr. Chen has served on the editorial boards of IEEE Transactions on Automatic Control, IEEE Transactions on Automation Science and Engineering, IIE Transactions, Asia-Pacific Journal of Operational Research, Journal of Simulation Modeling Practice and Theory, International Journal of Simulation and Process Modeling, and Journal of Traffic and Transportation Engineering. He is an IEEE Fellow.Chun-Hung Chen received his Ph.D. degree from Harvard University in 1994. He is currently a Professor at George Mason University. Dr. Chen was an Assistant Professor at the University of Pennsylvania before joining GMU. He was also a professor at National Taiwan University (Electrical Eng. and Industrial Eng.) from 2011-14. Dr. Chen is best known for the Optimal Computing Budget Allocation (OCBA) method that he initially developed. OCBA aims to maximizes the overall efficiency of the entire simulation optimization process, and has been recognized as the state-of-the-art in simulation optimization field. Dr. Chen received several awards such as Best Paper Award from IEEE International Conference on Automation Science and Engineering, IEEE International Conference on Communications, IEEE International Conference on Robotics and Automation, “K.D. Tocher Medal” for the best paper in the Journal of Simulation, “National Thousand Talents Award” from China, and Eliahu I. Jury Award from Harvard University. Dr. Chen is an author of two books, including a best seller: “Stochastic Simulation Optimization: An Optimal Computing Budget Allocation”. Dr. Chen has served on the editorial boards of IEEE Transactions on Automatic Control, IEEE Transactions on Automation Science and Engineering, IIE Transactions, Asia-Pacific Journal of Operational Research, Journal of Simulation Modeling Practice and Theory, International Journal of Simulation and Process Modeling, and Journal of Traffic and Transportation Engineering. He is an IEEE Fellow. "
128,Hadi El Amine,
129,John Shortle,
130,Karla Hoffman,
131,Kuo-Chu Chang,
132,Lance Sherry,
133,Matthew Amissah,
134,Ran Ji,
135,Vadim Sokolov,   Reformed mathematitian turned data scientist. Researcher and teacher. Expert in deep learning and Bayesian statistics. Reformed mathematitian turned data scientist. Researcher and teacher. Expert in deep learning and Bayesian statistics.  
136,Edward Huang,
137,Janis Terpenny,"   Janis Terpenny is Program Director at the National Science Foundation (NSF) of the Manufacturing Systems Integration (MSI) program. She is also professor of Systems Engineering & Operations Research and Mechanical Engineering at George Mason University. Previously, she served as the Dean and Wayne Davis Chair of the Tickle College of Engineering at the University of Tennessee.  She has also served as the department  head of Industrial and Manufacturing Engineering at Penn State University and at Iowa State University.  She also served as the first Technical Lead for the Advanced Manufacturing Enterprise (AME) area of the Digital Manufacturing and Design Innovation Institute (DMDII) during the development of the institute's roadmap and first strategic investment plan.  She was co-founder and director of the Center for e-Design, an NSF IUCRC, for many years.  Her research focus is engineering design (process and methods of early design; knowledge and information in design; product families and platforms; obsolescence in products and systems; and complexity of products and systems) and design education (multidisciplinary teams; impacts of project choice and context; and the retention and success of underrepresented students).  Dr. Terpenny was a program director for the Division of Undergraduate Education at the National Science Foundation (NSF).  She has also been a professor at Virginia Tech in the departments of Engineering Education, Mechanical Engineering and Industrial and Systems Engineering; and in the department of Mechanical and Industrial Engineering at the University of Massachusetts Amherst. She has 9 years of industry work experience with GE, including a 2-year corporate management program.  To date, she has managed over $16.5 million of sponsored research and is the author of over 180 peer-reviewed journal and conference publications. She is a Fellow of IISE and ASME, and a member of ASEE, AAAS, SME, Alpha Pi Mu, and Tau Beta Pi.  She is an associate editor for the Engineering Economist journal.  She is SVP of Academics on the Board of Trustees for IISE. She has received numerous awards for excellence in teaching, in research, and for service.Janis Terpenny is Program Director at the National Science Foundation (NSF) of the Manufacturing Systems Integration (MSI) program. She is also professor of Systems Engineering & Operations Research and Mechanical Engineering at George Mason University. Previously, she served as the Dean and Wayne Davis Chair of the Tickle College of Engineering at the University of Tennessee.  She has also served as the department  head of Industrial and Manufacturing Engineering at Penn State University and at Iowa State University.  She also served as the first Technical Lead for the Advanced Manufacturing Enterprise (AME) area of the Digital Manufacturing and Design Innovation Institute (DMDII) during the development of the institute's roadmap and first strategic investment plan.  She was co-founder and director of the Center for e-Design, an NSF IUCRC, for many years.  Her research focus is engineering design (process and methods of early design; knowledge and information in design; product families and platforms; obsolescence in products and systems; and complexity of products and systems) and design education (multidisciplinary teams; impacts of project choice and context; and the retention and success of underrepresented students).  Dr. Terpenny was a program director for the Division of Undergraduate Education at the National Science Foundation (NSF).  She has also been a professor at Virginia Tech in the departments of Engineering Education, Mechanical Engineering and Industrial and Systems Engineering; and in the department of Mechanical and Industrial Engineering at the University of Massachusetts Amherst. She has 9 years of industry work experience with GE, including a 2-year corporate management program.  To date, she has managed over $16.5 million of sponsored research and is the author of over 180 peer-reviewed journal and conference publications. She is a Fellow of IISE and ASME, and a member of ASEE, AAAS, SME, Alpha Pi Mu, and Tau Beta Pi.  She is an associate editor for the Engineering Economist journal.  She is SVP of Academics on the Board of Trustees for IISE. She has received numerous awards for excellence in teaching, in research, and for service. "
138,Jie Xu,"   Using quantitative and statistical analysis of large-scale data to improve revenue and profitability of airlines, financial, hospitality, internet, e-commerce, retail, and other industries. 10+ years experienced in mathematical and statistical modeling and implementation in C++, Java, SAS, SQL. In-depth knowledge in stochastic simulation and optimization.Specialties: Revenue management, simulation, forecasting, risk management, portfolio optimization, data mining, inventory managementUsing quantitative and statistical analysis of large-scale data to improve revenue and profitability of airlines, financial, hospitality, internet, e-commerce, retail, and other industries. 10+ years experienced in mathematical and statistical modeling and implementation in C++, Java, SAS, SQL. In-depth knowledge in stochastic simulation and optimization.Specialties: Revenue management, simulation, forecasting, risk management, portfolio optimization, data mining, inventory management "
139,Paulo Costa,"   Director - Center of Excellence in C4I & Cyber - George Mason University.Associate Professor at the Department of System Engineering and Operations Research and at the Department of Cybersecurity Engineering. CYSE Dept. Associate Chair for Graduate Programs and Research, retired Brazilian Air Force Officer, former fighter pilot.Specialties: Ontology engineering, Bayesian logic, command and control, system engineering, electronic warfare, multi-sensor data fusion, cyber-physical systems safety and security.Director - Center of Excellence in C4I & Cyber - George Mason University.Associate Professor at the Department of System Engineering and Operations Research and at the Department of Cybersecurity Engineering. CYSE Dept. Associate Chair for Graduate Programs and Research, retired Brazilian Air Force Officer, former fighter pilot.Specialties: Ontology engineering, Bayesian logic, command and control, system engineering, electronic warfare, multi-sensor data fusion, cyber-physical systems safety and security. "
140,Rajesh Ganesan,"   Associate Professor in Systems Engineering and Operations Research, George Mason University, Fairfax, Virginia, USAFaculty member at the Center for Secure Information Systems, GMUFaculty member at the Center for Air Transportation Systems Research, GMUSpecialties: Research interests in Stochastic Control and Optimization, dynamic programming and waveletsAssociate Professor in Systems Engineering and Operations Research, George Mason University, Fairfax, Virginia, USAFaculty member at the Center for Secure Information Systems, GMUFaculty member at the Center for Air Transportation Systems Research, GMUSpecialties: Research interests in Stochastic Control and Optimization, dynamic programming and wavelets "
141,Rochelle Jones,"   Systems engineering professor with over 17 years of industry experience implementing enterprise solutions that drive company growth and technology innovation. Knowledge in all facets of the systems development lifecycle, from requirements development, design, test, and post-implementation activities. Primary research interests are in the areas of distance education and mobile learning, specifically centered on emerging distributed education technologies and methods to enhance the user experience through the use of mobile devices and human engineering principles. Other engineering interests include exploring human factors, ergonomics, and human-computer interaction issues.Systems engineering professor with over 17 years of industry experience implementing enterprise solutions that drive company growth and technology innovation. Knowledge in all facets of the systems development lifecycle, from requirements development, design, test, and post-implementation activities. Primary research interests are in the areas of distance education and mobile learning, specifically centered on emerging distributed education technologies and methods to enhance the user experience through the use of mobile devices and human engineering principles. Other engineering interests include exploring human factors, ergonomics, and human-computer interaction issues. "
142,Shima Mohebbi,   https://seor.gmu.edu/profile/view/587766https://seor.gmu.edu/profile/view/587766 
143,Tianshu Feng,
144,Ahmed Bashatah,
145,Bengt Ljungquist,"   Neuroinformatics scientist, with background in software industry as a developer and requirements analyst.Neuroinformatics scientist, with background in software industry as a developer and requirements analyst. FeaturedFeatured     PostPostHow can you find neurons with similar hashtag#morphology in large data sets quickly? We have implemented a fast morphological similarity search that combines summary morphometrics with descriptors of the neural branching structure.We evaluated visual similarity, information content, and duplicate detection ability. Similarity search provided both as GUI and API for the NeuroMorpho.Org database. Code and application are released open-source for further community developmenthashtag#neuroscience hashtag#neuroinformatics hashtag#opensource https://lnkd.in/grZQEAUE  4PostPostOur new publication on a new tool for metadata mining of neuronal morphologies is now available, full access through link below. Efficient metadata mining of web-accessible neural morphologiessciencedirect.com • 1 min read 3PostPostHappy that our review article ""Highlights from the Era of Open Source Web-Based Tools"" now is published in Journal of Neuroscience: https://lnkd.in/dpaztuh  11            2 comments              "
146,Carolina Tecuatl Tolama,
147,Diek Wheeler,"   Experienced Research Professor with a demonstrated history of working in the academic research. Strong education professional skilled in Neuroinformatics, Physics, and Data Analysis.Experienced Research Professor with a demonstrated history of working in the academic research. Strong education professional skilled in Neuroinformatics, Physics, and Data Analysis. "
148,Caroline Hoemann,"   Specialties: tissue engineering, biomaterials, articular cartilage, histology, proteomics, mesenchymal stem cells, chitosan, preclinical models, innate immunitySpecialties: tissue engineering, biomaterials, articular cartilage, histology, proteomics, mesenchymal stem cells, chitosan, preclinical models, innate immunity FeaturedFeatured     DocumentDocument   BioEng AR final high spreads.pdfBioEng AR final high spreads.pdf Here is our Annual Report, from the Department of Bioengineering, George Mason University.Here is our Annual Report, from the Department of Bioengineering, George Mason University.    "
149,Juan Cebral,
150,Kim Blackwell,"   Accounting manager with history of working in various fields, including legal, graphic design and non-profit. Skilled in payroll, account reconciliation, general ledger, and financial statement preparation. Extensive experience with both cash-based and accrual accounting. Also have several years working in meeting and special event planning for local meetings, national trade shows and special event fundraisers. Accounting manager with history of working in various fields, including legal, graphic design and non-profit. Skilled in payroll, account reconciliation, general ledger, and financial statement preparation. Extensive experience with both cash-based and accrual accounting. Also have several years working in meeting and special event planning for local meetings, national trade shows and special event fundraisers.  "
151,Parag Chitnis,
152,Eugene Kim,"   Experienced Program Manager with a demonstrated history of serving in the military and leading organizations through ambiguity, providing structure, and solving problems.Experienced Program Manager with a demonstrated history of serving in the military and leading organizations through ambiguity, providing structure, and solving problems. FeaturedFeatured     PostPostGreat way to start off the year! Had an amazing time collaborating and building with an amazing group of people! I learned so much from Caroline Tsoi, Thomas Dias, Netra Mittal.Can't wait to see what's in store for the rest of the year! hashtag#blackstonelaunchpadtechstars hashtag#berkeleyhaas  46            1 comment          PostPostSo proud of our team Chen Su, Zixuan Chen, and ZhuoRan (Zia) Li! Honored to have been able to participate in such an important issue. I've met some of the most amazing people and learned a lot about the complexities of mental health. I'm grateful for the opportunity that allowed our team to channel our past struggles in a positive way through this challenge. Thank you and Go Bears!hashtag#health hashtag#gratitude hashtag#proud hashtag#mentalhealth hashtag#construction hashtag#berkeleyhaas Berkeley Haas team wins Mental Healthcare Tech Challenge  | Haas News | Berkeley Haasnewsroom.haas.berkeley.edu • 3 min read 72            13 comments          PostPostOne of the four defining leadership principles at Berkeley Haas is ""Beyond Yourself"". As a veteran, this has deeply resonated with me and is one of the reasons I chose to pursue my MBA at Haas. In line with this principle, our class is proud to have started a campaign, Haas Against Hunger, to raise awareness for the United Nations World Food Program, 2020 Nobel Peace Prize Laureate. We understand times are challenging for everyone but we believe it is during these times that we must come even closer together to shine some light into this current uncertain reality. That is why we are humbly asking you for help in this endeavor as we tackle world hunger. Please help us raise awareness and funds by simply sharing this post, creating your own, and/or donating to our GoFundMe campaign -->https://gf.me/u/y9xwddThank you for sharing our steadfast belief in the potential and dignity of the world’s most vulnerable. We extend our deepest gratitude for your compassion and humanity.hashtag#studentsalways hashtag#beyondyourself hashtag#worldfoodprogram hashtag#nobelpeaceprize hashtag#endworldhunger hashtag#berkeleyhaas hashtag#mba hashtag#questionthestatusquo hashtag#givingtuesday UN World Food Program: Haas Against Hunger, organized by The Haas Communitygf.me 36    "
153,Holger Dannenberg,"   My studies in the Molecular Biomedicine program at the University of Bonn in Bonn, Germany taught me the scientific basis of medicine and provided me with an understanding of disease mechanisms. As a student, my interest in neuroscience and immunology led me pursue my diploma thesis on studying microglia and their role in Alzheimer’s disease. I went on to pursue my Ph.D. thesis in Experimental Epileptology and Cognition Research in Bonn, Germany studying neuronal ensembles, neural engrams, and their modulation by acetylcholine in-vivo. Finishing my Ph.D. thesis, I joined the laboratory of Michael E. Hasselmo in Boston, MA, USA, where I continued my experimental and computational work on the cholinergic role in memory. In 2021, I joined the Dept. of Bioengineering and Interdisciplinary Program in Neuroscience as Assistant Professor. My lab investigates the mechanisms and functions underlying the formation of memory and memory-guided navigation with a focus on the septo-hippocampal brain circuitry.My studies in the Molecular Biomedicine program at the University of Bonn in Bonn, Germany taught me the scientific basis of medicine and provided me with an understanding of disease mechanisms. As a student, my interest in neuroscience and immunology led me pursue my diploma thesis on studying microglia and their role in Alzheimer’s disease. I went on to pursue my Ph.D. thesis in Experimental Epileptology and Cognition Research in Bonn, Germany studying neuronal ensembles, neural engrams, and their modulation by acetylcholine in-vivo. Finishing my Ph.D. thesis, I joined the laboratory of Michael E. Hasselmo in Boston, MA, USA, where I continued my experimental and computational work on the cholinergic role in memory. In 2021, I joined the Dept. of Bioengineering and Interdisciplinary Program in Neuroscience as Assistant Professor. My lab investigates the mechanisms and functions underlying the formation of memory and memory-guided navigation with a focus on the septo-hippocampal brain circuitry. FeaturedFeatured     PostPost  The Dannenberg lab is hiring two post docs! The lab uses single unit recordings, optogenetics, and fiber photometry to study neural mechanisms underpinning spatial cognition. Please see the advertisement below for the application process! hashtag#hiring hashtag#cognition hashtag#neuroscience hashtag#postdocpositionOpen Post-Doc Positions  16    "
