names,ProfileLinks,topics,citations,titles,delta
"David S. Chirinos, PhD",https://scholar.google.com//citations?hl=en&user=QInZUqwAAAAJ,Educational Psychology,299,George Mason University,#N/A
Lin Sun,https://scholar.google.com//citations?hl=en&user=rtr5xL4AAAAJ,"Empirical Asset Pricing, Investments, Hedge Funds, Behavioral Finance",299,"Assistant Professor of Finance, George Mason University",#N/A
Jaydeep Joshi,https://scholar.google.com//citations?hl=en&user=tp_vvjkAAAAJ,"Condensed matter physics, Solid state physics, Transition Metal Dichalcogenides",296,"PhD Physics, George Mason University",#N/A
Ali Raz,https://scholar.google.com//citations?hl=en&user=dVMdGAQAAAAJ,"System of Systems, Systems Engineering, Information Fusion, Machine Learning",296,George Mason University,#N/A
David E. Ferrier,https://scholar.google.com//citations?hl=en&user=Ro7jP1sAAAAJ,"Executive Function, Social-Emotional Competence, Child Development, Early Childhood",292,George Mason University,#N/A
Bonnie Stabile,https://scholar.google.com//citations?hl=en&user=aJMFmRAAAAAJ,"public policy, ethics, program evaluation, gender and policy",291,"Associate Professor, George Mason University",#N/A
Fengxiu Zhang,https://scholar.google.com//citations?hl=en&user=e4wLiHAAAAAJ,"Climate Adaptation, Disaster Resilience, Decision under Risk, Critical Infrastructure, Technology in Gov",291,George Mason University,#N/A
Abolfazl Safikhani,https://scholar.google.com//citations?hl=en&user=eUAQs5gAAAAJ,"network modeling, high-dimensional statistics, spatio-temporal models, unsupervised learning, random forest",291,"Assistant professor of Statistics, George Mason University",#N/A
Brian Levy,https://scholar.google.com//citations?hl=en&user=UD-XAuoAAAAJ,"Inequality, Neighborhoods, Race and Ethnicity, Education, Social Policy",290,"Assistant Professor of Sociology, George Mason University",#N/A
Rashmi Sadana,https://scholar.google.com//citations?hl=en&user=n3_4LHYAAAAJ,"Urban Studies, South Asia, Postcolonial Studies, India, Ethnography and Literature",290,George Mason University,#N/A
Sadegh Torabi,https://scholar.google.com//citations?hl=en&user=sHaylg0AAAAJ,"IoT security, Internet measurements, Big data analytics & characterization, Network/Systems Security, Usable security/privacy",289,"Cyber Security Researcher, Center for Secure Information Systems (CSIS), George Mason …",#N/A
Pallab Sanyal,https://scholar.google.com//citations?hl=en&user=VnoVhZ0AAAAJ,"Electronic market design, information security, crowdsourcing, experimental economics, predictive analytics",287,"Professor of Information Systems, George Mason University",#N/A
Amanda Haymond,https://scholar.google.com//citations?hl=en&user=iIPNswkAAAAJ,"biochemistry, enzymology, proteomics",287,"Post-Doc, George Mason University",#N/A
Philip Martin,https://scholar.google.com//citations?hl=en&user=gg72tnQAAAAJ,"International relations, Comparative politics, Political violence and civil wars, African politics",287,George Mason University,#N/A
Jonathan Auerbach,https://scholar.google.com//citations?hl=en&user=-4lKbKAAAAAJ,"statistics, public policy, data science",286,"Assistant Professor, George Mason University",#N/A
T. Mills Kelly,https://scholar.google.com//citations?hl=en&user=rtkYks8AAAAJ,"History, Digital Humanities, Pedagogy, Human Trafficking, Teaching",285,George Mason University,#N/A
Daniela Barragán,https://scholar.google.com//citations?hl=en&user=2Imbvm0AAAAJ,"Human Factors, Transportation",285,George Mason University,#N/A
Agnieszka Paczynska,https://scholar.google.com//citations?hl=en&user=IfJ5GBcAAAAJ,"Political science, conflict resolution, political sociology, economic development",284,"Associate Professor, George Mason University",#N/A
Nisarg Patel,https://scholar.google.com//citations?hl=en&user=cHENuM4AAAAJ,"Computer Architecture, Green Computing, Hardware Security",284,George Mason University,#N/A
Walter D. Valdivia,https://scholar.google.com//citations?hl=en&user=n1kjMiYAAAAJ,"Policy domains: Innovation, Science and Technology",283,George Mason University,#N/A
Laura A Sauls,https://scholar.google.com//citations?hl=en&user=117FHlIAAAAJ,,283,"Assistant Professor, Global Affairs Program, George Mason University",#N/A
Kumar Mehta,https://scholar.google.com//citations?hl=en&user=8Bt9M3gAAAAJ,,283,George Mason University,#N/A
Neil Epstein,https://scholar.google.com//citations?hl=en&user=yR9nNGMAAAAJ,"Commutative Algebra, combinatorics, algebraic geometry",282,"Associate Professor, Mathematical Sciences, George Mason University",#N/A
Bethany M. Usher,https://scholar.google.com//citations?hl=en&user=VVHKjgIAAAAJ,"Anthropology, Undergraduate Research, Higher Education, HIPs",280,George Mason University,#N/A
George Lamprianidis,https://scholar.google.com//citations?hl=en&user=CCtlOZgAAAAJ,"geospatial data, user-generated content",280,George Mason University,#N/A
Amanda Caswell,https://scholar.google.com//citations?hl=en&user=IUK4GHEAAAAJ,"Injury prevention, athletic training education practices",280,"George Mason University, Associate Professor",#N/A
Sharon L. Spradling,https://scholar.google.com//citations?hl=en&user=_03eTDYAAAAJ,"biogeography, medical entomology, conservation biology, medical geography",278,George Mason University,#N/A
"Michael Reksulak, Ph.D., JD",https://scholar.google.com//citations?hl=en&user=OvZ2SCwAAAAJ,"Public Economics, Political Economy, Regulation and Antitrust",276,George Mason University Law School,#N/A
Susannah Engdahl,https://scholar.google.com//citations?hl=en&user=LlPIqdQAAAAJ,"biomechanics, prosthetics",276,"Affiliate Faculty (Bioengineering), George Mason University",#N/A
"""Eric O. Scott""",https://scholar.google.com//citations?hl=en&user=OY4atVoAAAAJ,"Evolutionary Computation, Data Mining",270,George Mason University,#N/A
Mohammad Atiq Haque,https://scholar.google.com//citations?hl=en&user=XTJnPPkAAAAJ,"Real-time Systems, Scheduling, Algorithms",270,George Mason University,#N/A
Evangelos Paouris,https://scholar.google.com//citations?hl=en&user=6jAD0ZMAAAAJ,Solar and Space Physics - Space Weather …,268,George Mason University and APL/JHU,#N/A
Josefina Moraes Arraut,https://scholar.google.com//citations?hl=en&user=upZENOoAAAAJ,"Meteorologia, Clima",268,"Visiting Research Scholar, George Mason University",#N/A
Dr. Sarah Grace Manski,https://scholar.google.com//citations?hl=en&user=StP0jQ0AAAAJ,"Blockchain Technology, Social Justice Informatics, Electronic Currency, Globalization, Sustainable Business",268,George Mason University,#N/A
Sonia Ben Ouagrham-Gormley,https://scholar.google.com//citations?hl=en&user=BC57fq8AAAAJ,"international security, WMD, terrorism, biodefense, new technologies",267,George Mason University,#N/A
Michael D. Farren,https://scholar.google.com//citations?hl=en&user=JeISS3gAAAAJ,"economic development, labor economics, minimum wage, cronyism, subsidies",267,"Research Fellow, Mercatus Center at George Mason University",#N/A
Viet Dang,https://scholar.google.com//citations?hl=en&user=G517PfkAAAAJ,"Hardware, Cryptography, FPGA, ASICs",267,"PhD, Research Assistant at George Mason University",#N/A
Robert Matz,https://scholar.google.com//citations?hl=en&user=v_PQ1QwAAAAJ,"renaissance literature, shakespeare.",265,George Mason University,#N/A
Yasemin Irvin-Erickson,https://scholar.google.com//citations?hl=en&user=aDHStmIAAAAJ,,265,"Assistant Professor, George Mason University",#N/A
Anu Aneja,https://scholar.google.com//citations?hl=en&user=HJYzDugAAAAJ,"Feminist theory and Aesthetics, French and Indian women writers, postmodern literatures",265,"Director, Women and Gender Studies, George Mason University",#N/A
Tamara Harvey,https://scholar.google.com//citations?hl=en&user=pjeogTkAAAAJ,"early American literature, women writers",264,"Associate Professor of English, George Mason University",#N/A
Huseyin Yilmaz,https://scholar.google.com//citations?hl=en&user=kv_AmT0AAAAJ,"Ottoman Empire, Middle East, Islamic History, History of Political Thought, Mediterranean History",263,george mason university,#N/A
Erdogan Kaya,https://scholar.google.com//citations?hl=en&user=agHTlTYAAAAJ,"Engineering Education, Computer Science Education",263,George Mason University,#N/A
Sina Ahmadi,https://scholar.google.com//citations?hl=en&user=adu3L94AAAAJ,"Natural Language Processing, Computational Linguistics",262,George Mason University,#N/A
Natasha Latouf,https://scholar.google.com//citations?hl=en&user=NUYyAy8AAAAJ,"Exoplanets, exoplanet atmospheres, radial velocities",262,"NSF Graduate Research Fellow, George Mason University",#N/A
stuart malawer,https://scholar.google.com//citations?hl=en&user=NReNQaMAAAAJ,"International Law, International Trade, International Business",259,"Professor of  Law and International Trade, George Mason University",#N/A
Crystal Anderson,https://scholar.google.com//citations?hl=en&user=A6AW1NYAAAAJ,"Transnational American Studies, Global Asias",254,George Mason University,#N/A
Alexandre de Barros Barreto,https://scholar.google.com//citations?hl=en&user=b0YPqdIAAAAJ,"Cybersecurity, Impact Assessment, UTM, Aviation",254,GMU Cyber Center Affiliate Faculty,#N/A
Dann M. Sklarew,https://scholar.google.com//citations?hl=en&user=IzzK6AoAAAAJ,"sustainability science, water governance, ecosystem management, climate action, environmental education",253,"Professor of Environmental Science and Policy, George Mason University",#N/A
Mohammed Anowarul Hassan,https://scholar.google.com//citations?hl=en&user=x4qL_kIAAAAJ,"Mobile Cloud Computing, File System, Distributed System",252,"Google, George Mason University",#N/A
Jenn Mascott,https://scholar.google.com//citations?hl=en&user=kUICnkMAAAAJ,"administrative law, constitutional law, separation of powers, interpretation",252,"Assistant Professor of Law, Scalia Law School, George Mason University",#N/A
Brent Skorup,https://scholar.google.com//citations?hl=en&user=eJof0ZAAAAAJ,"telecommunications, technology, spectrum policy, drones, autonomous vehicles",250,"Senior Research Fellow, Mercatus Center at George Mason University",#N/A
Colin G. Flynn,https://scholar.google.com//citations?hl=en&user=r0WuEesAAAAJ,"Lidar, GIS, Remote Sensing, Night Light Imagery, Cartography",250,George Mason University,#N/A
Meng-hao Li,https://scholar.google.com//citations?hl=en&user=LjppBHYAAAAJ,"Health Informatics, e-Health Policy, Technology Innovation, Survey Methods, Social Networks",246,Postdoctoral Research Fellow at George Mason University,#N/A
Mahmoud Lababidi,https://scholar.google.com//citations?hl=en&user=J6q0vb4AAAAJ,Condensed Matter Theory,244,George Mason University,#N/A
Sumit Nanda,https://scholar.google.com//citations?hl=en&user=t9m1XmsAAAAJ,"Neuroscience, Neuroinformatics, Molecular Biology, Computational modelling",244,PostDoc at George Mason University,#N/A
Anneke M. DeLuycker,https://scholar.google.com//citations?hl=en&user=EfxCqqQAAAAJ,"conservation, animal behavior, ecology, primatology, anthropology",244,"Associate Professor, Smithsonian-Mason School of Conservation, George Mason University",#N/A
Victoria Goldberg,https://scholar.google.com//citations?hl=en&user=uu32z2MAAAAJ,,243,George Mason University,#N/A
Van Jones,https://scholar.google.com//citations?hl=en&user=KwofXgEAAAAJ,"Smoothed Particle Hydrodynamics, Computational Fluid Dynamics",243,George Mason University,29
Shervin Roshanisefat,https://scholar.google.com//citations?hl=en&user=lSMsfOIAAAAJ,"Hardware Security, Computer Architecture, Approximate Computing",242,George Mason University,#N/A
Yang Zhuo,https://scholar.google.com//citations?hl=en&user=j4L-gm8AAAAJ,Transportation Engineering,242,George Mason University,#N/A
David M. Houston,https://scholar.google.com//citations?hl=en&user=NzfortIAAAAJ,"Education Policy, Politics of Education",242,George Mason University,#N/A
Courtney Baker,https://scholar.google.com//citations?hl=en&user=rnXcdWMAAAAJ,Mathematics Education Leadership,240,George Mason University,#N/A
Jordan Neyland,https://scholar.google.com//citations?hl=en&user=CxtHSN0AAAAJ,"Corporate Law, Finance, Bankruptcy, Securities Regulation",240,George Mason University,#N/A
Ted Hsuan Yun Chen,https://scholar.google.com//citations?hl=en&user=a0wJsDYAAAAJ,"political science, environmental politics, network science, international relations",239,"Assistant Professor, George Mason University",#N/A
Tina Beveridge,https://scholar.google.com//citations?hl=en&user=bs9hgpkAAAAJ,"Music Education, Education Policy",236,"George Mason University, Assistant Professor of Music Education",#N/A
Ermo Wei,https://scholar.google.com//citations?hl=en&user=-tm9VhYAAAAJ,Reinforcement Learning,234,George Mason University,#N/A
David W. Prescott,https://scholar.google.com//citations?hl=en&user=PWyvHKsAAAAJ,"Atomic Physics, NQR, Optical Magnetometers",234,"Postdoc Research Fellow, George Mason University",#N/A
Erika Olimpiew,https://scholar.google.com//citations?hl=en&user=ujc2C68AAAAJ,"Software design, software reuse, mobile, cloud",232,George Mason University,#N/A
Blake Silver,https://scholar.google.com//citations?hl=en&user=fUQXnTwAAAAJ,,232,George Mason University,#N/A
Heidi Lawrence,https://scholar.google.com//citations?hl=en&user=V07gCh4AAAAJ,"vaccination, medical rhetoric, professional and technical communication",230,"Assistant Professor, George Mason University",#N/A
Xuan Wang,https://scholar.google.com//citations?hl=en&user=ZA2jIPYAAAAJ,"Distributed Control, data-driven control",230,George Mason University,#N/A
Yashar Alimohammadlou,https://scholar.google.com//citations?hl=en&user=jd4edbYAAAAJ,"Landslides, Slope Stability, Artificial Intelligence, Finite Element, Machine Learning",228,George Mason University,#N/A
Changyang Li,https://scholar.google.com//citations?hl=en&user=Zbx-YuUAAAAJ,"Computer Graphics, Augmented Reality, Virtual Reality",228,George Mason University,#N/A
Irina Hashmi,https://scholar.google.com//citations?hl=en&user=Lht1No4AAAAJ,"Computer Science: Computational Biology, Data Mining, Machine Learning, High-dimensional search, Reversible Computing",227,George Mason University,#N/A
Pragyansmita Nayak,https://scholar.google.com//citations?hl=en&user=2Iwf3k0AAAAJ,"Artificial Intelligence, Machine Learning, Data Science, Bayesian Network, Astronomy",226,George Mason University,#N/A
Matthew Ferreira,https://scholar.google.com//citations?hl=en&user=6gymQOoAAAAJ,"Infectious disease, epidemiology, health security, biosecurity",226,George Mason University,#N/A
Forrest Hare,https://scholar.google.com//citations?hl=en&user=xWy8mLQAAAAJ,"National Security Policy Cyberspace, Operational Intelligence",224,"Adjunct Professor, George Mason University",#N/A
Frank Webb,https://scholar.google.com//citations?hl=en&user=Ka6g00gAAAAJ,,221,George Mason University,#N/A
Jinghao Huang,https://scholar.google.com//citations?hl=en&user=pK8B91gAAAAJ,Batteries,221,George Mason University,#N/A
Anh Phan Nguyen,https://scholar.google.com//citations?hl=en&user=GYkO9NAAAAAJ,"Multimedia, Video Streaming, Deep Learning, Machine Learning, Computer Network.",219,"PhD student, George Mason University",#N/A
Saskia Popescu,https://scholar.google.com//citations?hl=en&user=GR0Cgc0AAAAJ,"infectious disease epidemiology, infection prevention, biodefense, antibiotic resistance, global health security",219,Assistant Professor - George Mason University,#N/A
Carrie L Bonilla,https://scholar.google.com//citations?hl=en&user=HRwaor0AAAAJ,"Second language acquisition, Hispanic linguistics",217,George Mason University,#N/A
Michael A Hunzeker,https://scholar.google.com//citations?hl=en&user=GxkDY8YAAAAJ,"Military innovation, conventional deterrence",217,"Assistant Professor, George Mason University",#N/A
ghassan husseinali ,https://scholar.google.com//citations?hl=en&user=kht-AiQAAAAJ,,216,George Mason University,#N/A
Byunghwan Son,https://scholar.google.com//citations?hl=en&user=h0o27GgAAAAJ,"political economy, methods, Asia",216,"Associate Professor, Global Affairs, George Mason University",#N/A
Jenice L View,https://scholar.google.com//citations?hl=en&user=-uMpssMAAAAJ,education,215,George mason University,#N/A
T. Reid Nelson,https://scholar.google.com//citations?hl=en&user=CFvi-GUAAAAJ,,215,"Assistant Professor, George Mason University",#N/A
Michele Greet,https://scholar.google.com//citations?hl=en&user=iIZios4AAAAJ,Latin American Art History,214,George Mason University,#N/A
Michael Fauntroy,https://scholar.google.com//citations?hl=en&user=EnB0GZYAAAAJ,African American Politics,214,"Associate Professor of Policy and Government, George Mason University",#N/A
Stephanie M Stehle,https://scholar.google.com//citations?hl=en&user=YKelWZcAAAAJ,"physics education, conceptual change, metacognition",214,George Mason University,#N/A
Laurence Bray,https://scholar.google.com//citations?hl=en&user=Zmmju5IAAAAJ,,213,"Associate Provost for Graduate Education, George Mason University",#N/A
Jingchao Yang,https://scholar.google.com//citations?hl=en&user=NJUh-R4AAAAJ,"Geoinformatics, Machine Learning, Data Science, IoT, Spatial Analysis",212,George Mason University,#N/A
Md Rezaul Hasan,https://scholar.google.com//citations?hl=en&user=s6DfN3UAAAAJ,Nanoelectronics,211,George Mason University,#N/A
Kathryn Holguin,https://scholar.google.com//citations?hl=en&user=0VCu5nMAAAAJ,,211,George Mason University,#N/A
Aman Ullah,https://scholar.google.com//citations?hl=en&user=Ut5QdtgAAAAJ,"Cell Signaling, Cardiac Modeling, Calcium dynamics, Computational Biology, Bioinformatics",209,George Mason University,#N/A
Auzeen Shariati,https://scholar.google.com//citations?hl=en&user=ycYsEnMAAAAJ,"Environmental Criminology, Crime Prevention, School Safety, Policing, Victimization",208,"Assistant Professor, George Mason University",#N/A
John Shea,https://scholar.google.com//citations?hl=en&user=tgjRNicAAAAJ,Chemistry,208,George Mason University,#N/A
Russell Cameron Thomas,https://scholar.google.com//citations?hl=en&user=2TSdGYQAAAAJ,"Computational Social Science, Systems of Innovation, Information Security, Risk, Socio-technical complex systems",207,"PhD student, Department of Computational and Data Sciences, George Mason University",#N/A
Nobuhiko Daito,https://scholar.google.com//citations?hl=en&user=kJ4wS9YAAAAJ,"Public Private Partnerships, Transportation Policy, Regional Analysis",207,"Center for Transportation Public Private Partnership Policy, George Mason University",#N/A
Ginny Seung Choi,https://scholar.google.com//citations?hl=en&user=TAxR69EAAAAJ,,207,Mercatus Center at George Mason University,#N/A
Nancy Freeborne,https://scholar.google.com//citations?hl=en&user=g46yCpYAAAAJ,"cardiovascular disease, women's health, social support, social capital",207,George Mason University,#N/A
Malik U Sharif,https://scholar.google.com//citations?hl=en&user=YQvD7csAAAAJ,Computer Engineering,203,George Mason University,#N/A
Seyed Rizi,https://scholar.google.com//citations?hl=en&user=CmnnKygAAAAJ,"multiagent simulation, agent-based modeling, economics, conflict, security",202,GMU,#N/A
Eli Dourado,https://scholar.google.com//citations?hl=en&user=PB7UCecAAAAJ,,202,George Mason University,#N/A
Joseph F. Harrison,https://scholar.google.com//citations?hl=en&user=v5aQnU8AAAAJ,"Social Complexity, Agent-based modeling, Opinion Dynamics, Attitude Change",202,"George Mason University, MITRE",#N/A
Dana A. Dolan,https://scholar.google.com//citations?hl=en&user=jes8AAcAAAAJ,"Public Policy, Governance, Climate Change Adaptation, Policy Entrepreneurship, Qualitative Methods",201,George Mason University,#N/A
Sarah Wittman,https://scholar.google.com//citations?hl=en&user=d5GxCGYAAAAJ,"Transitions, Individual and Organizational Boundaries, Identity, Leadership, Families and Kin",200,George Mason University - School of Business,#N/A
Teresa Michals,https://scholar.google.com//citations?hl=en&user=B6GKYCUAAAAJ,"Children's Literature, Disability Studies, 18th and 19th-Century British Literature",199,"Associate Professor, George Mason University, Korea",#N/A
J JESUS HERNANDEZ PEREZ,https://scholar.google.com//citations?hl=en&user=v4YPjZwAAAAJ,"Neuroscience, hippocampal electrophysiology, learning and memory, Alzheimer disease",199,"Postdoc, George Mason University",#N/A
Lijue Wang,https://scholar.google.com//citations?hl=en&user=YNwnFlcAAAAJ,"Computational Fluid Dynamics, Ship Steady Flow Simulation, Ship Hull Form Optimization",198,George Mason University,#N/A
Zaiyu Wang,https://scholar.google.com//citations?hl=en&user=nAIYsC2sytcC,Climate Dynamics,198,George Mason University,#N/A
Loreto Gonzalez-Hernandez,https://scholar.google.com//citations?hl=en&user=EZNKqhIAAAAJ,"Software Testing, SBSE, Combinatorial optimization, Metaheuristics",197,George Mason University,#N/A
Jessica Kordell,https://scholar.google.com//citations?hl=en&user=4ZeQjDsAAAAJ,,197,George Mason University,#N/A
Randy J. Vander Molen,https://scholar.google.com//citations?hl=en&user=gGx4g_YAAAAJ,Industrial-Organizational Psychology,196,George Mason University,#N/A
Mohamed I. Ibrahem,https://scholar.google.com//citations?hl=en&user=uXaXACEAAAAJ,"Cyber-Security, Privacy Preservation, Machine learning, Smart Grid Security, SDN",195,"Benha University, George Mason University",38
Kuan Yao,https://scholar.google.com//citations?hl=en&user=0p1Rp1sAAAAJ,"Biology, Microbiology, Genomics",195,"George Mason University, US Food and Drug Administration",#N/A
Tiphanie Raffegeau,https://scholar.google.com//citations?hl=en&user=zmc8nPoAAAAJ,"Aging, mobility, cognition, fear of falling, depression",195,Assistant Professor at George Mason University,#N/A
Kirin Emlet Furst,https://scholar.google.com//citations?hl=en&user=X075zj0AAAAJ,"water quality engineering, disinfection byproducts, drinking water, wastewater reuse, contaminant transport and fate",194,George Mason University,36
Samantha T. Ives,https://scholar.google.com//citations?hl=en&user=tdp8uh8AAAAJ,"reading motivation, reading engagement, autonomy support",194,George Mason University,#N/A
Robert J. Posont,https://scholar.google.com//citations?hl=en&user=jgiBbxcAAAAJ,"Comparative Stress Physiology, Comparative Immunology, Eco-Immunology",194,"PhD Student, George Mason University",#N/A
MB Toth,https://scholar.google.com//citations?hl=en&user=2NU8zd8AAAAJ,"Digitization, metadata, Multispectral Imaging, data management, program management",191,University College London/George Mason University,#N/A
Pouya Gholizadeh,https://scholar.google.com//citations?hl=en&user=hVrqlgEAAAAJ,"Construction Safety, Building Information Modeling",191,"PhD Student, George Mason University",#N/A
Kate T. Luong,https://scholar.google.com//citations?hl=en&user=K-JoBzUAAAAJ,"media psychology, climate change communication, environmental & health communication, science commnication",190,George Mason University,#N/A
Stephanie E. Trapnell,https://scholar.google.com//citations?hl=en&user=XoTryx0AAAAJ,"sociology, democracy, development, transparency, gender",188,George Mason University,#N/A
Bilal Habib,https://scholar.google.com//citations?hl=en&user=RX88D8YAAAAJ,"Hardware security, Digital Design, FPGA, Embedded Systems, Cryptography",187,George Mason University,#N/A
Benjamin Schweinhart,https://scholar.google.com//citations?hl=en&user=dKWV5LwAAAAJ,"topological and geometric data analysis, stochastic topology, topology, probability, statistical mechanics",186,"Assistant Professor of Mathematics, George Mason University",#N/A
Drew Wicke,https://scholar.google.com//citations?hl=en&user=lEJ-67oAAAAJ,"Multiagent Systems, Multiagent Learning, Machine Learning, Artificial Intelligence, Multi Robotics",185,George Mason University,#N/A
Janani Umamaheswar,https://scholar.google.com//citations?hl=en&user=NMUK2iEAAAAJ,"Criminology, gender, punishment, the life course, qualitative research methods",184,"Department of Criminology, Law, and Society, George Mason University",#N/A
Mohammed Elmufti,https://scholar.google.com//citations?hl=en&user=QZlM2hIAAAAJ,"Astronomy, Exoplanets, Binary Systems, Astrophysics",184,George Mason University,#N/A
Mingkui Wei,https://scholar.google.com//citations?hl=en&user=RYrtR9kAAAAJ,Cybersecurity,183,George Mason University,#N/A
Toki Tahmid Inan,https://scholar.google.com//citations?hl=en&user=4cQqe5cAAAAJ,"Artificial Intelligence, Numerical Optimization",182,"PhD Student, George Mason University",#N/A
Gary dela Pena,https://scholar.google.com//citations?hl=en&user=ElbOeYYAAAAJ,Numerical Analysis,182,"Term Assistant Professor of Mathematics, George Mason University",#N/A
Alireza Afshar,https://scholar.google.com//citations?hl=en&user=fFd_UPwAAAAJ,"Durability of Reinforced Concrete, Corrosion Assessment, Construction Management, Construction Safety",182,Ph.D. Student at George Mason University,#N/A
Steven Patrick Jackson,https://scholar.google.com//citations?hl=en&user=CCC8R5gAAAAJ,"Volunteered Geographic Information, OpenStreetMap, Geoinformation Science",181,George Mason University,#N/A
"Alexandra Patzak, PhD",https://scholar.google.com//citations?hl=en&user=3becCB4AAAAJ,"Academic Self-Handicapping, Motivation, Self-Regulated Learning, Learning Analytics, Educational Psychology",181,"Assistant Professor, George Mason University",#N/A
Jacqueline Serigos,https://scholar.google.com//citations?hl=en&user=Wi6IN7UAAAAJ,"Language Contact, Corpus Linguistics, Computational Linguistics",179,George Mason University,#N/A
Mohammad Rezaeirad,https://scholar.google.com//citations?hl=en&user=Tu1D5XgAAAAJ,"Cyber Security, Measurement, Threat Intelligence, Reverse Engineering, Embedded Security",178,George Mason University,#N/A
Zifu Wang,https://scholar.google.com//citations?hl=en&user=OGHF3IYAAAAJ,Geoinformation Science,178,Ph.D. Student of George Mason University,#N/A
Stephen Matteo Miller,https://scholar.google.com//citations?hl=en&user=SovdfMoAAAAJ,"financial crises, financial regulation",178,"Senior Research Fellow, Mercatus Center at George Mason University",#N/A
Arwa Aldhalaan,https://scholar.google.com//citations?hl=en&user=J2V9yJcAAAAJ,"Autonomic Computing, Cloud Computing, Virtual Machine, Computer System Performance evaluation.",177,"Assistant Professor, King Saud University. Postdoctoral fellow at George Mason University.",#N/A
Felício Cassalho,https://scholar.google.com//citations?hl=en&user=UxE1ChIAAAAJ,"Hydrology, Hydrodynamic and Wave Modeling, GIS and remote sensing applications in water …",175,George Mason University,#N/A
RP Acosta,https://scholar.google.com//citations?hl=en&user=5ydqXE8AAAAJ,"Paleoclimate, Monsoons, Modelling",174,George Mason University,#N/A
Elizabeth Blum,https://scholar.google.com//citations?hl=en&user=ezikUP8AAAAJ,"Conservation Biology, Social Cognition, Evolutionary Anthropology, Human Behavioral Ecology, Autism",173,George Mason University,#N/A
Zhepeng Wang,https://scholar.google.com//citations?hl=en&user=JyPU5aEAAAAJ,"Quantum Machine Learning, On-Device AI, Embedded System",171,George Mason University,#N/A
Holly Norton,https://scholar.google.com//citations?hl=en&user=-2OHTgoAAAAJ,"Meteorology, Geology, Climate, Land-Atmosphere Interactions",170,"Graduate Research Assistant, George Mason University",#N/A
Abhijitt Dhavlle,https://scholar.google.com//citations?hl=en&user=gQ7PxroAAAAJ,"Hardware security, GPU attacks, Cache-based Side-channel attacks, adversarial machine learning.",170,George Mason University,#N/A
Lingquan Li,https://scholar.google.com//citations?hl=en&user=WXnLZRUAAAAJ,Computational fluid dynamics,168,George Mason University,#N/A
Jason A. Smith,https://scholar.google.com//citations?hl=en&user=45FTQGIAAAAJ,"Race, Media, Media Policy, Cultural Politics",167,Center for Social Science Research - George Mason University,#N/A
Nicholas Hertz,https://scholar.google.com//citations?hl=en&user=l7AbQ8wAAAAJ,"Human-Robot Interaction, Social Robotics, Human-Computer Interaction",167,George Mason University,#N/A
Stefanie F. Gonçalves,https://scholar.google.com//citations?hl=en&user=7CVv_lMAAAAJ,"emotion regulation, impulse control, psychophysiology, developmental psychopathology",167,"Clinical Psychology Doctoral Student, George Mason University",#N/A
Ao Wang,https://scholar.google.com//citations?hl=en&user=ug3XvYkAAAAJ,Cloud computing,165,George Mason University,#N/A
Mark Helmsing,https://scholar.google.com//citations?hl=en&user=Av5kNTQAAAAJ,"Social Studies Education, Cultural Memory, Popular History, Popular Culture, Museum Studies",162,George Mason University,#N/A
Lucas Núñez,https://scholar.google.com//citations?hl=en&user=MRsalCAAAAAJ,"Electoral Behavior, Political Participation, Quantitative Methods",162,George Mason University,#N/A
Niklas Hultin,https://scholar.google.com//citations?hl=en&user=HN6bHdUAAAAJ,,161,George Mason University,#N/A
Yanyan Lu,https://scholar.google.com//citations?hl=en&user=ErcMElIAAAAJ,"Robotics, Computational Geometry",161,"Student of Computer Science, George Mason University",#N/A
Matthew Mitchell,https://scholar.google.com//citations?hl=en&user=HFsomGgAAAAJ,"Public Choice, rent seeking, government granted privilege",161,"Senior Research Fellow, Mercatus Center at George Mason University",#N/A
David Freelan,https://scholar.google.com//citations?hl=en&user=0LKaOMYAAAAJ,"Artificial Intelligence, Mutliagent systems",161,George Mason University,#N/A
Rahul Pandey,https://scholar.google.com//citations?hl=en&user=fKMSzz0AAAAJ,"Human-AI Collaboration, Natural Language Understanding, Social Computing, Crisis Informatics",161,"PhD Candidate, Information Technology, George Mason University",#N/A
Kayvan Bijari,https://scholar.google.com//citations?hl=en&user=_tljXBUAAAAJ,"computational neuroinformatics, natural language processing, data science, machine learning",161,George Mason University,#N/A
Jennifer M Loya,https://scholar.google.com//citations?hl=en&user=XB0ybtAAAAAJ,clinical psychology,161,George Mason University,#N/A
Paolo Saguato,https://scholar.google.com//citations?hl=en&user=T613qhsAAAAJ,"Financial Regulation, Banking Law, Securities Regulation, Corporate Law",160,"Assistant Professor of Law at George Mason University, Antonin Scalia Law School",#N/A
Aiyoub Abbaspour,https://scholar.google.com//citations?hl=en&user=LqC_3GIAAAAJ,"Geotechnic, Geoenvironment, Geochemistry",159,George Mason university,#N/A
Rick WA Smith,https://scholar.google.com//citations?hl=en&user=ebIhuQUAAAAJ,"Biocultural Anthropology, Genomics, STS, Colonialism",159,"Assistant Professor, George Mason University",#N/A
Richard T. Craig,https://scholar.google.com//citations?hl=en&user=YnUZ4cQAAAAJ,"Mass Communication/Media Studies, Media Political Economy, Media Representation, Race and Ethnicity, Gender",158,"Professor of Communication, George Mason University",#N/A
